Wavelength,Average,Red,Green,Blue
898.2,0,0,0,0
900.6,0,0,0,0
903,0,0,0,0
905.4,0,0,0,0
907.8,0,0,0,0
910.2,0,0,0,0
912.6,0,0,0,0
915,0,0,0,0
917.4,0,0,0,0
919.8,0,0,0,0
922.2,0,0,0,0
924.6,0,0,0,0
927,0,0,0,5.1
929.4,0,0,0,5.1
931.8,0,0,0,5.1
934.2,2.55,0,0,5.1
936.6,0,0,0,0
939,0,0,0,0
941.4,0,0,0,0
943.9,0,0,0,0
946.3,0,0,0,0
948.7,0,0,0,0
951.1,0,0,0,0
953.5,0,0,0,0
955.9,0,0,0,0
958.3,0,0,0,0
960.7,0,0,0,0
963.1,0,0,0,0
965.5,0,0,0,2.55
967.9,0,0,0,2.55
970.3,0,0,0,2.55
972.7,0,0,0,2.55
975.1,0,0,0,0
977.5,0,0,0,0
979.9,0,0,0,2.55
982.3,0,0,0,7.65
984.7,0,0,0,0
987.2,0,0,0,0
989.6,0,0,0,0
992,0,0,0,0
994.4,0,0,0,0
996.8,0,0,0,0
999.2,0,0,0,0
1002,0,0,0,0
1004,0,0,0,0
1006,0,0,0,0
1009,0,0,0,0
1011,0,0,0,0
1014,0,0,0,2.55
1016,0,0,0,2.55
1018,0,0,0,0
1021,0,0,0,0
1023,0,0,0,0
1026,0,0,0,0
1028,0,0,0,2.55
1030,0,0,0,2.55
1033,2.55,0,0,5.1
1035,2.55,0,0,5.1
1038,0,0,0,2.55
1040,0,0,0,2.55
1042,0,0,0,0
1045,0,0,0,0
1047,0,0,0,0
1050,0,0,0,0
1052,0,0,0,0
1055,0,0,0,0
1057,0,0,0,0
1059,0,0,0,0
1062,0,0,0,0
1064,0,0,0,0
1067,0,0,0,0
1069,0,0,0,0
1071,0,0,0,0
1074,0,0,0,0
1076,0,0,0,0
1079,0,0,0,0
1081,0,0,0,0
1083,0,0,0,0
1086,0,0,0,0
1088,0,0,0,0
1091,0,0,0,0
1093,0,0,0,0
1095,0,0,0,0
1098,0,0,0,0
1100,0,0,0,0
1103,0,0,0,0
1105,0,0,0,0
1107,0,0,0,0
1110,0,0,0,0
1112,0,0,0,0
1115,0,0,0,0
1117,0,0,0,0
1119,0,0,0,0
1122,0,0,0,0
1124,0,0,0,0
1127,0,0,0,0
1129,0,0,0,0
1131,0,0,0,0
1134,0,0,0,0
1136,0,0,0,0
1139,0,0,0,0
1141,0,0,0,0
1144,0,0,0,0
1146,0,0,0,0
1148,0,0,0,0
1151,0,0,0,0
1153,0,0,0,0
1156,0,0,0,0
1158,0,0,0,0
1160,0,0,0,0
1163,0,0,0,0
1165,0,0,0,0
1168,0,0,0,0
1170,0,0,0,0
1172,0,0,0,0
1175,0,0,0,0
1177,0,0,0,0
1180,0,0,0,0
1182,0,0,0,0
1184,0,0,0,0
1187,0,0,0,0
1189,0,0,0,0
1192,0,0,0,0
1194,0,0,0,0
1196,0,0,0,0
1199,0,0,0,0
1201,0,0,0,2.55
1204,0,0,0,2.55
1206,0,0,0,2.55
1208,0,0,0,2.55
1211,0,0,0,0
1213,0,0,0,0
1216,0,0,0,2.55
1218,0,0,0,2.55
1220,0,2.55,0,0
1223,0,2.55,0,0
1225,0,0,0,0
1228,0,0,0,0
1230,0,0,0,0
1233,0,0,0,0
1235,0,0,0,0
1237,0,0,0,0
1240,0,0,0,0
1242,0,0,0,0
1245,0,0,0,0
1247,0,0,0,0
1249,0,0,0,0
1252,0,0,0,0
1254,0,0,0,0
1257,0,0,0,0
1259,0,0,0,0
1261,0,0,0,0
1264,0,0,0,0
1266,0,0,0,0
1269,0,0,0,0
1271,0,0,0,0
1273,0,0,0,2.55
1276,0,0,0,2.55
1278,0,0,0,2.55
1281,0,2.55,0,2.55
1283,0,0,0,2.55
1285,0,0,0,2.55
1288,0,0,0,2.55
1290,0,0,0,2.55
1293,0,0,0,2.55
1295,0,0,0,2.55
1297,0,0,0,2.55
1300,0,0,0,2.55
1302,0,0,0,2.55
1305,0,0,0,0
1307,0,0,0,0
1309,0,0,0,0
1312,0,0,0,0
1314,0,0,0,0
1317,0,0,0,0
1319,0,0,0,0
1322,0,0,0,0
1324,0,0,0,0
1326,0,0,0,0
1329,0,0,0,0
1331,0,0,0,2.55
1334,0,0,0,2.55
1336,0,0,0,5.1
1338,2.55,2.55,0,5.1
1341,0,0,0,2.55
1343,0,0,0,2.55
1346,0,0,0,0
1348,0,0,0,0
1350,0,0,0,0
1353,0,0,0,0
1355,0,0,0,0
1358,0,2.55,0,0
1360,0,2.55,0,0
1362,0,2.55,0,0
1365,0,5.1,0,0
1367,0,5.1,0,0
1370,2.55,7.65,0,0
1372,0,7.65,0,0
1374,0,5.1,0,0
1377,0,2.55,0,0
1379,0,2.55,0,0
1382,0,5.1,0,0
1384,2.55,5.1,0,2.55
1386,0,2.55,0,0
1389,0,0,0,0
1391,0,0,0,0
1394,0,0,0,0
1396,0,0,0,0
1398,0,0,0,0
1401,0,0,0,0
1403,0,0,0,0
1406,0,0,0,0
1408,0,0,0,0
1411,0,0,0,0
1413,0,0,0,0
1415,0,0,0,2.55
1418,0,0,0,5.1
1420,0,0,0,2.55
1423,2.55,0,0,7.65
1425,2.55,0,0,7.65
1427,0,0,0,5.1
1430,0,0,0,5.1
1432,0,0,0,0
1435,0,0,0,0
1437,0,0,0,0
1439,0,0,0,0
1442,0,2.55,0,0
1444,0,2.55,0,0
1447,0,0,0,0
1449,0,0,0,0
1451,0,0,0,0
1454,0,0,0,0
1456,0,0,0,0
1459,0,0,0,0
1461,0,0,0,0
1463,0,0,0,0
1466,0,0,0,0
1468,0,0,0,0
1471,0,0,0,0
1473,0,0,0,2.55
1475,0,0,0,0
1478,0,0,2.55,0
1480,0,0,0,2.55
1483,0,0,0,2.55
1485,0,0,0,0
1487,0,0,0,0
1490,0,0,0,2.55
1492,0,0,0,2.55
1495,0,0,0,2.55
1497,0,0,0,0
1500,0,0,0,0
1502,0,0,0,0
