Wavelength,Average,Red,Green,Blue
1020.63,41,42,21,61
1021.72,42,42,20,65
1022.80,44,44,22,67
1023.88,35,35,12,60
1024.97,41,41,18,66
1026.05,42,39,19,68
1027.14,40,38,17,67
1028.22,38,36,16,62
1029.30,33,31,11,58
1030.39,28,24,9,52
1031.47,33,29,14,57
1032.56,38,35,21,58
1033.64,38,35,21,58
1034.72,43,42,29,59
1035.81,45,44,31,62
1036.89,35,35,22,50
1037.98,33,32,20,48
1039.06,31,31,19,45
1040.14,31,31,19,45
1041.23,31,31,19,45
1042.31,31,31,19,45
1043.40,32,31,19,47
1044.48,33,32,20,48
1045.56,34,36,18,50
1046.65,34,36,18,50
1047.73,33,34,17,49
1048.82,33,34,17,49
1049.90,32,33,15,50
1050.98,31,32,14,49
1052.07,32,33,15,50
1053.15,35,36,17,52
1054.24,37,38,20,54
1055.32,44,45,27,61
1056.40,34,36,18,48
1057.49,34,36,18,48
1058.57,32,34,17,45
1059.66,37,39,22,50
1060.74,31,32,21,42
1061.82,28,29,18,38
1062.91,23,24,13,34
1063.99,28,29,18,38
1065.08,35,35,23,48
1066.16,37,37,25,51
1067.24,31,31,19,45
1068.33,32,32,20,46
1069.41,31,26,22,45
1070.49,34,30,25,48
1071.58,39,27,40,50
1072.66,41,29,42,53
1073.75,31,12,47,34
1074.83,20,1,36,24
1075.91,26,0,66,12
1077.00,50,23,90,37
1078.08,47,2,123,17
1079.17,111,66,188,81
1080.25,117,59,219,74
1081.33,126,68,228,83
1082.42,95,35,204,47
1083.50,78,18,186,30
1084.59,61,10,157,17
1085.67,50,0,146,5
1086.75,47,3,127,11
1087.84,47,3,127,11
